Product,Categories,Price
1x Kids Dinner - 4pm Dinners,4pm Dinners,2
1x Adult Dinner - 4pm Dinners,4pm Dinners,4
10x Kids Dinners - 4pm Dinners,4pm Dinners,20
10x Adult Dinners - 4pm Dinners,4pm Dinners,40
Drink,Food/Drinks,1
Pizza Slice,Food/Drinks,2
Sausage Sandwich,Food/Drinks,2
Snag + Drink,Food/Drinks,3
3 for 5,Food/Drinks,5
Que And Crew Burger,Food/Drinks,6.5
Coffee,Lighthouse Coffee Sundays,3
,Lighthouse Coffee Sundays,3
Single Entry,Lighthouse Junior Jivers,2
Junior Jivers single entry,Lighthouse Junior Jivers,3
Short Term,Lighthouse Junior Jivers,6
Junior Jivers full term payment,Lighthouse Junior Jivers,10
Junior Jivers Half Term Payment,Lighthouse Junior Jivers,10
Lighthouse Kids Single Entry,Lighthouse Kids,2
Lighthouse Kids TERM PAYMENT (old),Lighthouse Kids,15
Lighthouse Kids Term Payment,Lighthouse Kids,20
LHY Single Night,Lighthouse Youth,3
LHY Term Payment,Lighthouse Youth,25
Paddle boarding 1 Adult,Paddle boarding event,20
Individual Payment (old),Pie Night,5
Child Pie night (12 and under),Pie Night,9
Family Payment (old),Pie Night,15
Adult Pie night,Pie Night,17
Family Pie night,Pie Night,52
SF Youth,Summerfest,3
1 Day Single Child Pass,Summerfest,6
1 Day Family Pass,Summerfest,12
Weekly Single Child Pass,Summerfest,24
Weekly Family Pass,Summerfest,48
Lunch Cheap,Summerfest Meeting,2.5
Summerfest Meeting Lunch,Summerfest Meeting,7
Women’s Dessert Night - 1 Person,Women’s Dessert Night,12
Young Adults Dessert Night,Young adults Dessert Night,5
